"SubID","Block","Trial","Condition","TestDuration","Long","Exp"
"1",2,111,"Fix-Gap",875,1,"Exp1"
"1",2,112,"Fix-Gap",625,1,"Exp1"
"1",2,113,"Fix-Gap",625,0,"Exp1"
"1",2,114,"Fix-Gap",750,1,"Exp1"
"1",2,115,"Fix-Gap",125,0,"Exp1"
"1",2,116,"Fix-Gap",125,0,"Exp1"
"1",2,118,"Fix-Gap",500,0,"Exp1"
"1",2,119,"Fix-Gap",875,1,"Exp1"
"1",2,120,"Fix-Gap",125,0,"Exp1"
"1",2,121,"Fix-Gap",875,1,"Exp1"
"1",2,122,"Fix-Gap",375,0,"Exp1"
"1",2,123,"Fix-Gap",500,0,"Exp1"
"1",2,124,"Fix-Gap",750,1,"Exp1"
"1",2,125,"Fix-Gap",375,0,"Exp1"
"1",2,126,"Fix-Gap",125,0,"Exp1"
"1",2,127,"Fix-Gap",500,1,"Exp1"
"1",2,129,"Fix-Gap",750,1,"Exp1"
"1",2,130,"Fix-Gap",625,1,"Exp1"
"1",2,131,"Fix-Gap",375,0,"Exp1"
"1",2,132,"Fix-Gap",375,0,"Exp1"
"1",2,133,"Fix-Gap",625,1,"Exp1"
"1",2,134,"Fix-Gap",500,1,"Exp1"
"1",2,135,"Fix-Gap",250,0,"Exp1"
"1",2,136,"Fix-Gap",375,0,"Exp1"
"1",2,137,"Fix-Gap",500,0,"Exp1"
"1",2,139,"Fix-Gap",125,0,"Exp1"
"1",2,140,"Fix-Gap",875,0,"Exp1"
"1",2,1,"Fix-Gap",250,0,"Exp1"
"1",2,5,"Fix-Gap",125,0,"Exp1"
"1",2,9,"Fix-Gap",375,0,"Exp1"
"1",2,10,"Fix-Gap",750,1,"Exp1"
"1",2,14,"Fix-Gap",375,0,"Exp1"
"1",2,15,"Fix-Gap",125,0,"Exp1"
"1",2,24,"Fix-Gap",875,1,"Exp1"
"1",2,25,"Fix-Gap",750,1,"Exp1"
"1",2,26,"Fix-Gap",250,0,"Exp1"
"1",2,31,"Fix-Gap",125,0,"Exp1"
"1",2,32,"Fix-Gap",750,1,"Exp1"
"1",2,33,"Fix-Gap",375,1,"Exp1"
"1",2,35,"Fix-Gap",375,0,"Exp1"
"1",2,39,"Fix-Gap",500,0,"Exp1"
"1",2,40,"Fix-Gap",125,0,"Exp1"
"1",2,54,"Fix-Gap",500,1,"Exp1"
"1",2,55,"Fix-Gap",250,0,"Exp1"
"1",2,56,"Fix-Gap",875,1,"Exp1"
"1",2,59,"Fix-Gap",750,1,"Exp1"
"1",2,71,"Fix-Gap",375,0,"Exp1"
"1",2,77,"Fix-Gap",500,1,"Exp1"
"1",2,94,"Fix-Gap",125,0,"Exp1"
"1",2,101,"Fix-Gap",875,1,"Exp1"
"1",2,103,"Fix-Gap",250,0,"Exp1"
"1",2,106,"Fix-Gap",250,0,"Exp1"
"1",2,117,"Fix-Gap",250,0,"Exp1"
"1",2,128,"Fix-Gap",750,1,"Exp1"
"1",2,138,"Fix-Gap",875,1,"Exp1"
"1",2,68,"Fix-Gap",125,0,"Exp1"
"1",2,74,"Fix-Gap",250,0,"Exp1"
"1",3,1,"Sac-nonGap",250,1,"Exp1"
"1",3,2,"Sac-nonGap",625,1,"Exp1"
"1",3,3,"Sac-nonGap",250,0,"Exp1"
"1",3,4,"Sac-nonGap",250,0,"Exp1"
"1",3,5,"Sac-nonGap",250,0,"Exp1"
"1",3,6,"Sac-nonGap",500,1,"Exp1"
"1",3,7,"Sac-nonGap",625,1,"Exp1"
"1",3,8,"Sac-nonGap",750,1,"Exp1"
"1",3,9,"Sac-nonGap",750,1,"Exp1"
"1",3,10,"Sac-nonGap",250,0,"Exp1"
"1",3,11,"Sac-nonGap",250,0,"Exp1"
"1",3,12,"Sac-nonGap",625,1,"Exp1"
"1",3,13,"Sac-nonGap",250,0,"Exp1"
"1",3,14,"Sac-nonGap",250,0,"Exp1"
"1",3,15,"Sac-nonGap",750,1,"Exp1"
"1",3,17,"Sac-nonGap",375,1,"Exp1"
"1",3,18,"Sac-nonGap",750,1,"Exp1"
"1",3,19,"Sac-nonGap",625,1,"Exp1"
"1",3,20,"Sac-nonGap",875,1,"Exp1"
"1",3,21,"Sac-nonGap",500,0,"Exp1"
"1",3,22,"Sac-nonGap",500,1,"Exp1"
"1",3,23,"Sac-nonGap",625,1,"Exp1"
"1",3,24,"Sac-nonGap",250,0,"Exp1"
"1",3,25,"Sac-nonGap",375,0,"Exp1"
"1",3,26,"Sac-nonGap",875,1,"Exp1"
"1",3,27,"Sac-nonGap",500,1,"Exp1"
"1",3,28,"Sac-nonGap",500,1,"Exp1"
"1",3,29,"Sac-nonGap",875,1,"Exp1"
"1",3,30,"Sac-nonGap",375,0,"Exp1"
"1",3,31,"Sac-nonGap",625,1,"Exp1"
"1",3,32,"Sac-nonGap",250,0,"Exp1"
"1",3,33,"Sac-nonGap",625,0,"Exp1"
"1",3,34,"Sac-nonGap",125,0,"Exp1"
"1",3,35,"Sac-nonGap",375,1,"Exp1"
"1",3,36,"Sac-nonGap",750,1,"Exp1"
"1",3,37,"Sac-nonGap",250,0,"Exp1"
"1",3,38,"Sac-nonGap",250,0,"Exp1"
"1",3,39,"Sac-nonGap",125,0,"Exp1"
"1",3,40,"Sac-nonGap",375,1,"Exp1"
"1",3,41,"Sac-nonGap",875,1,"Exp1"
"1",3,42,"Sac-nonGap",875,1,"Exp1"
"1",3,43,"Sac-nonGap",125,1,"Exp1"
"1",3,44,"Sac-nonGap",250,0,"Exp1"
"1",3,45,"Sac-nonGap",750,1,"Exp1"
"1",3,46,"Sac-nonGap",250,0,"Exp1"
"1",3,47,"Sac-nonGap",750,1,"Exp1"
"1",3,48,"Sac-nonGap",750,1,"Exp1"
"1",3,49,"Sac-nonGap",750,1,"Exp1"
"1",3,50,"Sac-nonGap",750,1,"Exp1"
"1",3,51,"Sac-nonGap",875,1,"Exp1"
"1",3,53,"Sac-nonGap",375,1,"Exp1"
"1",3,54,"Sac-nonGap",125,0,"Exp1"
"1",3,55,"Sac-nonGap",125,0,"Exp1"
"1",3,56,"Sac-nonGap",375,1,"Exp1"
"1",3,57,"Sac-nonGap",125,0,"Exp1"
"1",3,58,"Sac-nonGap",625,1,"Exp1"
"1",3,59,"Sac-nonGap",625,1,"Exp1"
"1",3,60,"Sac-nonGap",625,1,"Exp1"
"1",3,61,"Sac-nonGap",375,1,"Exp1"
"1",3,62,"Sac-nonGap",250,1,"Exp1"
"1",3,63,"Sac-nonGap",125,0,"Exp1"
"1",3,64,"Sac-nonGap",625,1,"Exp1"
"1",3,65,"Sac-nonGap",250,0,"Exp1"
"1",3,66,"Sac-nonGap",750,1,"Exp1"
"1",3,67,"Sac-nonGap",125,0,"Exp1"
"1",3,68,"Sac-nonGap",500,1,"Exp1"
"1",3,69,"Sac-nonGap",375,1,"Exp1"
"1",3,70,"Sac-nonGap",750,1,"Exp1"
"1",3,71,"Sac-nonGap",875,1,"Exp1"
"1",3,72,"Sac-nonGap",250,0,"Exp1"
"1",3,73,"Sac-nonGap",250,0,"Exp1"
"1",3,74,"Sac-nonGap",500,1,"Exp1"
"1",3,75,"Sac-nonGap",750,1,"Exp1"
"1",3,76,"Sac-nonGap",625,1,"Exp1"
"1",3,77,"Sac-nonGap",125,0,"Exp1"
"1",3,78,"Sac-nonGap",375,0,"Exp1"
"1",3,79,"Sac-nonGap",250,1,"Exp1"
"1",3,80,"Sac-nonGap",625,1,"Exp1"
"1",3,81,"Sac-nonGap",500,1,"Exp1"
"1",3,83,"Sac-nonGap",875,1,"Exp1"
"1",3,84,"Sac-nonGap",750,1,"Exp1"
"1",3,85,"Sac-nonGap",375,0,"Exp1"
"1",3,86,"Sac-nonGap",125,0,"Exp1"
"1",3,87,"Sac-nonGap",750,1,"Exp1"
"1",3,89,"Sac-nonGap",625,1,"Exp1"
"1",3,90,"Sac-nonGap",625,0,"Exp1"
"1",3,91,"Sac-nonGap",250,0,"Exp1"
"1",3,92,"Sac-nonGap",875,1,"Exp1"
"1",3,93,"Sac-nonGap",750,1,"Exp1"
"1",3,94,"Sac-nonGap",625,1,"Exp1"
"1",3,95,"Sac-nonGap",375,0,"Exp1"
"1",3,97,"Sac-nonGap",875,1,"Exp1"
"1",3,98,"Sac-nonGap",750,1,"Exp1"
"1",3,99,"Sac-nonGap",750,1,"Exp1"
"1",3,100,"Sac-nonGap",625,1,"Exp1"
"1",3,101,"Sac-nonGap",875,1,"Exp1"
"1",3,102,"Sac-nonGap",125,0,"Exp1"
"1",3,103,"Sac-nonGap",250,0,"Exp1"
"1",3,104,"Sac-nonGap",750,1,"Exp1"
"1",3,106,"Sac-nonGap",750,1,"Exp1"
"1",3,107,"Sac-nonGap",250,0,"Exp1"
"1",3,108,"Sac-nonGap",125,0,"Exp1"
"1",3,109,"Sac-nonGap",375,1,"Exp1"
"1",3,110,"Sac-nonGap",750,1,"Exp1"
"1",3,111,"Sac-nonGap",500,1,"Exp1"
"1",3,112,"Sac-nonGap",625,1,"Exp1"
"1",3,113,"Sac-nonGap",750,1,"Exp1"
"1",3,114,"Sac-nonGap",875,1,"Exp1"
"1",3,115,"Sac-nonGap",750,1,"Exp1"
"1",3,117,"Sac-nonGap",500,0,"Exp1"
"1",3,118,"Sac-nonGap",875,1,"Exp1"
"1",3,119,"Sac-nonGap",125,0,"Exp1"
"1",3,120,"Sac-nonGap",375,1,"Exp1"
"1",3,121,"Sac-nonGap",750,1,"Exp1"
"1",3,122,"Sac-nonGap",500,1,"Exp1"
"1",3,123,"Sac-nonGap",250,0,"Exp1"
"1",3,124,"Sac-nonGap",125,0,"Exp1"
"1",3,125,"Sac-nonGap",375,1,"Exp1"
"1",3,126,"Sac-nonGap",500,1,"Exp1"
"1",3,127,"Sac-nonGap",125,0,"Exp1"
"1",3,128,"Sac-nonGap",625,1,"Exp1"
"1",3,129,"Sac-nonGap",875,1,"Exp1"
"1",3,130,"Sac-nonGap",375,1,"Exp1"
"1",3,132,"Sac-nonGap",875,1,"Exp1"
"1",3,133,"Sac-nonGap",250,0,"Exp1"
"1",3,134,"Sac-nonGap",500,1,"Exp1"
"1",3,135,"Sac-nonGap",500,1,"Exp1"
"1",3,136,"Sac-nonGap",250,0,"Exp1"
"1",3,137,"Sac-nonGap",375,1,"Exp1"
"1",3,138,"Sac-nonGap",125,0,"Exp1"
"1",3,139,"Sac-nonGap",750,1,"Exp1"
"1",3,140,"Sac-nonGap",375,0,"Exp1"
"1",3,16,"Sac-nonGap",875,1,"Exp1"
"1",3,52,"Sac-nonGap",875,1,"Exp1"
"1",3,82,"Sac-nonGap",250,0,"Exp1"
"1",3,96,"Sac-nonGap",750,1,"Exp1"
"1",3,105,"Sac-nonGap",500,0,"Exp1"
"1",3,116,"Sac-nonGap",625,1,"Exp1"
"1",3,131,"Sac-nonGap",500,1,"Exp1"
"1",3,88,"Sac-nonGap",500,1,"Exp1"
"1",4,1,"Sac-Gap",125,0,"Exp1"
"1",4,2,"Sac-Gap",375,1,"Exp1"
"1",4,3,"Sac-Gap",375,0,"Exp1"
"1",4,4,"Sac-Gap",625,1,"Exp1"
"1",4,5,"Sac-Gap",750,1,"Exp1"
"1",4,6,"Sac-Gap",625,1,"Exp1"
"1",4,7,"Sac-Gap",375,0,"Exp1"
"1",4,8,"Sac-Gap",250,0,"Exp1"
"1",4,9,"Sac-Gap",875,1,"Exp1"
"1",4,12,"Sac-Gap",375,0,"Exp1"
"1",4,13,"Sac-Gap",625,1,"Exp1"
"1",4,14,"Sac-Gap",375,0,"Exp1"
"1",4,15,"Sac-Gap",625,1,"Exp1"
"1",4,16,"Sac-Gap",625,1,"Exp1"
"1",4,17,"Sac-Gap",125,0,"Exp1"
"1",4,18,"Sac-Gap",250,0,"Exp1"
"1",4,19,"Sac-Gap",125,0,"Exp1"
"1",4,20,"Sac-Gap",375,0,"Exp1"
"1",4,21,"Sac-Gap",625,1,"Exp1"
"1",4,22,"Sac-Gap",625,1,"Exp1"
"1",4,23,"Sac-Gap",625,1,"Exp1"
"1",4,24,"Sac-Gap",750,0,"Exp1"
"1",4,25,"Sac-Gap",750,1,"Exp1"
"1",4,26,"Sac-Gap",875,1,"Exp1"
"1",4,27,"Sac-Gap",125,0,"Exp1"
"1",4,28,"Sac-Gap",375,1,"Exp1"
"1",4,29,"Sac-Gap",625,1,"Exp1"
"1",4,30,"Sac-Gap",750,1,"Exp1"
"1",4,31,"Sac-Gap",500,1,"Exp1"
"1",4,32,"Sac-Gap",375,0,"Exp1"
"1",4,33,"Sac-Gap",250,0,"Exp1"
"1",4,34,"Sac-Gap",625,1,"Exp1"
"1",4,35,"Sac-Gap",250,0,"Exp1"
"1",4,36,"Sac-Gap",125,0,"Exp1"
"1",4,37,"Sac-Gap",375,0,"Exp1"
"1",4,38,"Sac-Gap",875,1,"Exp1"
"1",4,39,"Sac-Gap",125,0,"Exp1"
"1",4,40,"Sac-Gap",500,0,"Exp1"
"1",4,41,"Sac-Gap",625,1,"Exp1"
"1",4,42,"Sac-Gap",500,1,"Exp1"
"1",4,43,"Sac-Gap",875,1,"Exp1"
"1",4,44,"Sac-Gap",500,1,"Exp1"
"1",4,45,"Sac-Gap",375,1,"Exp1"
"1",4,46,"Sac-Gap",875,1,"Exp1"
"1",4,47,"Sac-Gap",250,0,"Exp1"
"1",4,48,"Sac-Gap",875,1,"Exp1"
"1",4,49,"Sac-Gap",375,0,"Exp1"
"1",4,50,"Sac-Gap",750,1,"Exp1"
"1",4,51,"Sac-Gap",500,0,"Exp1"
"1",4,52,"Sac-Gap",125,0,"Exp1"
"1",4,53,"Sac-Gap",875,1,"Exp1"
"1",4,54,"Sac-Gap",250,0,"Exp1"
"1",4,55,"Sac-Gap",625,0,"Exp1"
"1",4,56,"Sac-Gap",250,0,"Exp1"
"1",4,57,"Sac-Gap",750,1,"Exp1"
"1",4,58,"Sac-Gap",500,0,"Exp1"
"1",4,59,"Sac-Gap",375,0,"Exp1"
"1",4,60,"Sac-Gap",500,0,"Exp1"
"1",4,61,"Sac-Gap",250,0,"Exp1"
"1",4,62,"Sac-Gap",125,0,"Exp1"
"1",4,63,"Sac-Gap",375,0,"Exp1"
